"지역별(1)","시점",수출액,구성비,전년대비증감률,연평균증감률
"중화권","2010",568,7,31.5,16.2
"중화권","2011",662,3.8,16.5,23.8
"중화권","2012",829,4.8,25.2,20.8
"중화권","2013",986,4.7,18.9,22
"중화권","2014",1241,4.9,25.9,22.4
"중화권","2015",1492,5.1,20.2,23
"중화권","2016",1325,4.1,-11.2,3.3
"중화권","2017",1367,3.9,3.2,-4.3
"중화권","2018",2461,6.1,80,36.3
"중화권","2019",4920,10.7,99.9,89.7
"중화권","2020",8616,13.7,75.1,87.1
"일본","2010",1527,18.7,155.8,57.4
"일본","2011",6639,38.6,334.8,233.5
"일본","2012",5507,32.2,-17.1,89.9
"일본","2013",6766,32.2,22.9,1
"일본","2014",7015,27.4,3.7,12.9
"일본","2015",8165,27.8,16.4,9.9
"일본","2016",9154,28.2,12.1,14.2
"일본","2017",9742,27.6,6.4,9.2
"일본","2018",11601,28.6,19.1,12.6
"일본","2019",12295,26.7,6,12.3
"일본","2020",15915,25.4,29.4,17.1
"동남아시아","2010",2004,24.6,281.7,98.8
"동남아시아","2011",2643,15.3,31.9,124.4
"동남아시아","2012",3134,18.3,18.6,25.1
"동남아시아","2013",3694,17.6,17.9,18.2
"동남아시아","2014",4871,19.1,31.9,24.7
"동남아시아","2015",5205,17.7,6.9,18.7
"동남아시아","2016",6352,19.6,22,14.2
"동남아시아","2017",7094,20.1,11.7,16.7
"동남아시아","2018",8244,20.4,16.2,13.9
"동남아시아","2019",9431,20.5,14.4,15.3
"동남아시아","2020",13785,22,46.2,29.3
"북미","2010",1723,21.1,82.7,35.7
"북미","2011",1766,10.3,2.5,36.8
"북미","2012",2353,13.8,33.2,16.9
"북미","2013",2826,13.5,20.1,26.5
"북미","2014",3947,15.4,39.7,29.5
"북미","2015",4208,14.3,6.6,22
"북미","2016",4602,14.2,9.4,8
"북미","2017",5036,14.3,9.4,9.4
"북미","2018",5295,13.1,5.1,7.3
"북미","2019",6001,13,13.3,9.2
"북미","2020",8283,13.2,38,25.1
"유럽","2010",2258,27.7,35.5,18
"유럽","2011",5457,31.7,141.7,80.9
"유럽","2012",5202,30.4,-4.7,51.8
"유럽","2013",6434,30.7,23.7,8.6
"유럽","2014",8054,31.5,25.2,24.4
"유럽","2015",9742,33.2,21,23.1
"유럽","2016",10324,31.8,6,13.2
"유럽","2017",11093,31.5,7.4,6.7
"유럽","2018",11948,29.5,7.7,7.6
"유럽","2019",12496,27.2,4.6,6.1
"유럽","2020",15207,24.2,21.7,12.8
"기 타","2010",73,0.9,62.2,51
"기 타","2011",46,0.3,-37,1.1
"기 타","2012",80,0.5,73.9,4.7
"기 타","2013",276,1.3,245,144.9
"기 타","2014",434,1.7,57.2,132.9
"기 타","2015",542,1.8,24.9,40.1
"기 타","2016",725,2.2,33.8,29.2
"기 타","2017",929,2.6,28.1,30.9
"기 타","2018",952,2.4,2.5,14.6
"기 타","2019",867,1.9,-8.9,-3.4
"기 타","2020",908,1.4,4.7,-2.3
